Gender,AgeGroup,Education,Profession,Income,Switcher,LastPurchase,Annual_Spend,APhone
F,45-54,Masters,Lawyer,114073,0,3,1211.0,1.0
M,35-44,Masters,Performer,186464,0,5,382.0,0.0
M,55-64,Masters,Doctor,237237,0,4,1440.0,1.0
F,18-24,HighSchool,Secretary,18800,1,1,546.0,0.0
F,55-64,Bachelors,Nurse,61742,0,4,741.0,0.0
F,18-24,HighSchool,Teacher,30113,1,1,364.0,0.0
M,35-44,Masters,Entrepreneur,125060,0,5,493.0,0.0
M,25-34,Associate,Janitor,23890,0,3,215.0,0.0
F,55-64,Masters,Entrepreneur,131283,0,2,1079.0,0.0
F,65+,Associate,Secretary,34867,0,2,517.0,0.0
F,65+,HighSchool,Clerk,37968,0,4,293.0,0.0
M,25-34,Bachelors,Entrepreneur,187792,0,2,788.0,1.0
F,18-24,HighSchool,Clerk,28843,0,5,1432.0,1.0
M,18-24,Associate,Clerk,13511,1,1,709.0,0.0
M,35-44,Masters,Performer,273038,0,3,1319.0,1.0
F,35-44,HighSchool,Janitor,35380,0,5,998.0,1.0
M,25-34,Bachelors,Nurse,84417,0,3,665.0,0.0
M,35-44,Masters,Entrepreneur,159808,0,4,1091.0,1.0
M,45-54,Associate,Clerk,27709,1,1,246.0,0.0
M,45-54,HighSchool,Teacher,16922,0,5,319.0,0.0
M,65+,Associate,Technician,41369,0,2,1204.0,1.0
F,35-44,HighSchool,Secretary,37249,0,2,336.0,0.0
F,45-54,Doctorate,Lawyer,131211,0,5,972.0,0.0
M,25-34,Associate,Programmer,66028,1,1,1158.0,0.0
F,65+,Masters,Doctor,284011,0,4,1344.0,1.0
M,45-54,Masters,Lawyer,262610,0,4,749.0,0.0
M,55-64,Masters,Manager,99574,0,4,523.0,0.0
M,35-44,Masters,Technician,49109,0,5,531.0,0.0
M,25-34,HighSchool,Janitor,10550,1,2,232.0,0.0
M,65+,Associate,Secretary,16432,1,2,175.0,0.0
M,35-44,Bachelors,Manager,82359,0,4,174.0,0.0
M,35-44,HighSchool,Clerk,32128,1,1,372.0,0.0
M,45-54,HighSchool,Clerk,22207,1,1,462.0,0.0
F,45-54,Bachelors,Architect,90557,0,2,705.0,0.0
M,25-34,Masters,Lawyer,119407,0,4,658.0,0.0
M,55-64,Doctorate,Executive,134035,0,5,361.0,0.0
M,25-34,HighSchool,Teacher,29584,0,4,701.0,0.0
M,18-24,HighSchool,Student,26153,1,1,719.0,0.0
M,45-54,Masters,Entrepreneur,216960,0,5,523.0,0.0
M,35-44,Associate,Clerk,19501,0,4,368.0,0.0
F,65+,Masters,Lawyer,123514,1,1,1444.0,1.0
M,45-54,HighSchool,Clerk,27717,0,2,201.0,0.0
M,65+,HighSchool,Student,18702,0,4,673.0,0.0
M,25-34,Masters,Entrepreneur,145518,1,2,451.0,0.0
F,25-34,Bachelors,Technician,90776,0,5,1090.0,1.0
M,25-34,HighSchool,Janitor,10171,1,2,1459.0,1.0
M,55-64,Masters,Programmer,44601,1,2,811.0,1.0
M,35-44,HighSchool,Teacher,31734,0,3,452.0,0.0
M,18-24,Associate,Student,22662,1,2,735.0,0.0
M,65+,Masters,Entrepreneur,148743,0,4,1233.0,1.0
M,25-34,Masters,Technician,81632,1,2,1321.0,1.0
M,65+,Associate,Secretary,20071,0,4,675.0,0.0
F,45-54,Associate,Programmer,50670,1,1,1165.0,1.0
M,35-44,Associate,Janitor,26913,1,2,448.0,0.0
F,25-34,HighSchool,Student,10149,1,2,1008.0,1.0
M,45-54,Masters,Executive,266294,0,4,1091.0,1.0
M,35-44,Doctorate,Entrepreneur,220451,0,5,501.0,0.0
F,55-64,Masters,Performer,189579,0,2,714.0,0.0
F,35-44,Masters,Technician,83873,0,3,962.0,1.0
M,55-64,HighSchool,Secretary,25744,1,2,595.0,0.0
M,45-54,Masters,Lawyer,210785,1,1,1196.0,1.0
